what,kind,bundleId,bundleVersion,description,time
closed,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422656574029
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20131115-1210,"org.eclipse.equinox.p2.garbagecollector",1422656574346
closed,workbench,org.eclipse.ui.workbench,3.106.0.v20140530-0732,"",1422656574635
stopped,bundle,org.eclipse.compare.win32,1.0.200.v20130514-1224,"org.eclipse.compare.win32",1422656575621
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.300.v20140407-1803,"org.eclipse.equinox.p2.ui.sdk",1422656575628
stopped,bundle,org.eclipse.cdt.debug.ui.memory.floatingpoint,1.0.0.201402142303,"org.eclipse.cdt.debug.ui.memory.floatingpoint",1422656575630
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.3.0.201402142303,"org.eclipse.cdt.debug.ui.memory.search",1422656575631
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201402142303,"org.eclipse.cdt.debug.ui.memory.traditional",1422656575633
stopped,bundle,org.eclipse.cdt.autotools.ui,1.0.1.201402142303,"org.eclipse.cdt.autotools.ui",1422656575635
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,2.0.0.201402142303,"org.eclipse.linuxtools.cdt.autotools.core",1422656575637
stopped,bundle,org.eclipse.cdt.autotools.core,1.2.0.201402142303,"org.eclipse.cdt.autotools.core",1422656575643
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,3.2.0.201402142303,"org.eclipse.cdt.codan.checkers.ui",1422656575645
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,3.2.0.201402142303,"org.eclipse.cdt.codan.ui.cxx",1422656575645
stopped,bundle,org.eclipse.cdt.codan.ui,3.2.0.201402142303,"org.eclipse.cdt.codan.ui",1422656575646
stopped,bundle,org.eclipse.cdt.launch.remote,2.4.0.201402142303,"org.eclipse.cdt.launch.remote",1422656575647
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201402142303,"org.eclipse.cdt.debug.mi.ui",1422656575648
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.3.0.201402142303,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1422656575649
stopped,bundle,org.eclipse.linuxtools.gdbtrace.ui,1.2.1.201402102340,"org.eclipse.linuxtools.gdbtrace.ui",1422656575650
stopped,bundle,org.eclipse.linuxtools.gdbtrace.core,1.2.1.201402102340,"org.eclipse.linuxtools.gdbtrace.core",1422656575651
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.4.0.201402142303,"org.eclipse.cdt.dsf.gdb.ui",1422656575663
stopped,bundle,org.eclipse.cdt.dsf.ui,2.4.0.201402142303,"org.eclipse.cdt.dsf.ui",1422656575667
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201402142303,"org.eclipse.cdt.gdb.ui",1422656575671
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.3.0.201402142303,"org.eclipse.cdt.dsf.gdb",1422656575673
stopped,bundle,org.eclipse.linuxtools.rpm.rpmlint,1.0.0.201402102340,"org.eclipse.linuxtools.rpm.rpmlint",1422656575675
stopped,bundle,org.eclipse.linuxtools.rpm.ui,1.1.0.201402102340,"org.eclipse.linuxtools.rpm.ui",1422656575676
stopped,bundle,org.eclipse.linuxtools.rpm.ui.editor,1.2.0.201402102340,"org.eclipse.linuxtools.rpm.ui.editor",1422656575678
stopped,bundle,org.eclipse.linuxtools.rpm.core,2.1.0.201402102340,"org.eclipse.linuxtools.rpm.core",1422656575679
stopped,bundle,org.eclipse.linuxtools.gcov.core,5.0.0.201402102340,"org.eclipse.linuxtools.gcov.core",1422656575680
stopped,bundle,org.eclipse.linuxtools.gprof,5.0.0.201402102340,"org.eclipse.linuxtools.gprof",1422656575682
stopped,bundle,org.eclipse.linuxtools.binutils,4.1.0.201402102340,"org.eclipse.linuxtools.binutils",1422656575683
stopped,bundle,org.eclipse.linuxtools.tools.launch.core,2.0.0.201402102340,"org.eclipse.linuxtools.tools.launch.core",1422656575684
stopped,bundle,org.eclipse.linuxtools.profiling.launch,2.2.0.201402102340,"org.eclipse.linuxtools.profiling.launch",1422656575687
